Molecule Name,SMILES,TB SRI Kinase Phenotypic Screen SP: % Inhibition @10ug/ml (%)
AB00692559-01,CC1=C(C)C(NC2=NC(=NC(NC3=CC=CC(C)=C3C)=N2)N2CCOCC2)=CC=C1,-11.05
AB00692559-01,CC1=C(C)C(NC2=NC(=NC(NC3=CC=CC(C)=C3C)=N2)N2CCOCC2)=CC=C1,-18.8
AB00692558-01,CC(=O)NC1=CC=C(NC2=NC(=NC(=N2)N2CCOCC2)N2CCOCC2)C=C1,-1.19
AB00692558-01,CC(=O)NC1=CC=C(NC2=NC(=NC(=N2)N2CCOCC2)N2CCOCC2)C=C1,-14.87
AB00692558-01,CC(=O)NC1=CC=C(NC2=NC(=NC(=N2)N2CCOCC2)N2CCOCC2)C=C1,-16.01
AB00692558-01,CC(=O)NC1=CC=C(NC2=NC(=NC(=N2)N2CCOCC2)N2CCOCC2)C=C1,-19.57
AB00692557-01,COC1=CC=C(C)C2=C1N=C(S2)N(CCCN(C)C)C(=O)CS(=O)(=O)C1=CC=C(F)C=C1,5.45
AB00692556-01,CN(C)CCCN(C(=O)CCS(=O)(=O)C1=CC=C(C)C=C1)C1=NC2=C(S1)C=CC=C2Cl,-1.36
AB00692555-01,CCS(=O)(=O)C1=CC=C(C=C1)C(=O)N(CCCN(C)C)C1=NC2=C(S1)C=C(C=C2)[N+]([O-])=O,-6.78
AB00692554-01,CCS(=O)(=O)C1=CC=CC(=C1)C(=O)NC1=C(C#N)C2=C(CN(CC3=CC=CC=C3)CC2)S1,6.38
AB00692553-01,CCS(=O)(=O)C1=CC=CC(=C1)C(=O)NC1=C(C(N)=O)C2=C(CN(CC3=CC=CC=C3)CC2)S1,0.85
AB00692552-01,CN(C)CCN(C(=O)C1=CC2=C(S1)C=CC(=C2)[N+]([O-])=O)C1=NC2=C(S1)C=CC=C2,-12.42
AB00692551-01,CCN1CCC2=C(C1)SC(NC(=O)C1=CC=CC=C1S(C)(=O)=O)=C2C(N)=O,-11.19
AB00692550-01,CN1CCC2=C(C1)SC(NC(=O)CSC1=CC=C(C)C=C1)=C2C(N)=O,-0.95
AB00692549-01,CN1CCC2=C(C1)SC(NC(=O)CS(=O)(=O)C1=CC=C(F)C=C1)=C2C(N)=O,-4.75
AB00692548-01,CN1CCC2=C(C1)SC(NC(=O)CS(=O)(=O)C1=CC=CC=C1)=C2C(N)=O,-2.7
AB00692547-01,CN(C)CCN(C(=O)C1=CC=CC2=CC=CC=C12)C1=NC2=C(S1)C=CC(C)=C2C,98.97
AB00692546-01,NCC1=NNC(=O)C2=C1C=CC=C2,0.28
AB00692545-01,CC1=CC=CC=C1NC(=O)CSC1=NN=C(C)C(=O)N1N,62.72
AB00692545-01,CC1=CC=CC=C1NC(=O)CSC1=NN=C(C)C(=O)N1N,54.7
AB00692544-01,CC1=NN=C(SCC(=O)NC2=CC=C3OCCOC3=C2)N(N)C1=O,91.35
AB00692544-01,CC1=NN=C(SCC(=O)NC2=CC=C3OCCOC3=C2)N(N)C1=O,86.53
AB00692543-01,CC1=CC=C2N(CC(O)CN3CCOCC3)C3=C(CCCC3)C2=C1,16.11
AB00692542-01,O=C(NCCOC(=O)C1=CC=C(C=C1)C#N)C1=CC=CN=C1,-3.56
AB00692541-01,OCCN1CCN(CC(O)COC2=CC=C(Br)C=C2)CC1,0.03
AB00692540-01,CC(=O)C1=CC=C(OCC(O)CN2CCC3=C(C2)C=CC=C3)C=C1,0.64
AB00692540-01,CC(=O)C1=CC=C(OCC(O)CN2CCC3=C(C2)C=CC=C3)C=C1,0
AB00692539-01,NNC1CS(=O)(=O)CC1O,-5.84
AB00692539-01,NNC1CS(=O)(=O)CC1O,-9.5
AB00692538-01,OC(=O)CCC(NC1=NC=NC2=CC=CC=C12)C(O)=O,-15.81
AB00692537-01,[H]N(C(=O)C1=CC=C(C=C1)S(=O)(=O)N1CCCCC1)C1=C(C(N)=O)C2=C(S1)C(C)(C)NC(C)(C)C2,-5.45
AB00692536-01,[H]N(C(=O)C1=CC=C(C=C1)S(=O)(=O)N(CCC)CCC)C1=C(C(N)=O)C2=C(S1)C(C)(C)NC(C)(C)C2,-0.73
AB00692535-01,[H]N(C(=O)C1=CC=C(C=C1)S(=O)(=O)N(CC)CC)C1=C(C(N)=O)C2=C(S1)C(C)(C)NC(C)(C)C2,4.34
AB00692534-01,CN1CCC2=C(C1)SC(NC(=O)C1=CC3=C(C=C1)N=CS3)=C2C(N)=O,13.39
AB00692533-01,O=C(NC1=C(C#N)C2=C(CN(CC3=CC=CC=C3)CC2)S1)C1COC2=C(O1)C=CC=C2,-2.67
AB00692532-01,NC(=O)C1=C(NC(=O)C2=CC3=C(C=C2)N=CS3)SC2=C1CCN(CC1=CC=CC=C1)C2,4.62
AB00692531-01,NC(=O)C1=C(NC(=O)C2=CC3=C(CCCC3)C=C2)SC2=C1CCN(CC1=CC=CC=C1)C2,-3.09
AB00692530-01,O=C(CN1C(=O)CCC1=O)NC1=C(C2=NC3=C(S2)C=CC=C3)C2=C(CN(CC3=CC=CC=C3)CC2)S1,7.35
AB00692529-01,CCN1CCC2=C(C1)SC(NC(=O)C1=CC=CC(=C1)N1C(=O)CCC1=O)=C2C1=NC2=C(S1)C=CC=C2,22.3
AB00692528-01,CC(=O)C1=CC=C(C=C1)C(=O)NC1=C(C2=NC3=C(S2)C=CC=C3)C2=C(CN(CC3=CC=CC=C3)CC2)S1,1.43
AB00692527-01,BrC1=CC=C(C=C1)C(=O)NC1=C(C2=NC3=C(S2)C=CC=C3)C2=C(CN(CC3=CC=CC=C3)CC2)S1,-6.42
AB00692526-01,CCN1CCC2=C(C1)SC(NC(=O)C1=CC=CC=C1)=C2C1=NC2=C(S1)C=CC=C2,99.92
AB00692525-01,CC(C)N1CCC2=C(C1)SC(NC(=O)C1=CC3=C(OC1=O)C=CC1=C3C=CC=C1)=C2C(N)=O,94.68
AB00692524-01,NC(=O)C1=C(NC(=O)C2=CC3=C(OC2=O)C=CC2=C3C=CC=C2)SC2=C1CCN(CC1=CC=CC=C1)C2,10.02
AB00692523-01,CCN1CCC2=C(C1)SC(NC(=O)C1=CC3=C(OC1=O)C=CC1=C3C=CC=C1)=C2C(N)=O,-2.07
AB00692522-01,CC(C)N1CCC2=C(C1)SC(NC(=O)C1=CC3=C(OC1=O)C=CC=C3)=C2C(N)=O,3.23
AB00692521-01,CN1CCC2=C(C1)SC(NC(=O)C1=CC3=C(OC1=O)C=CC=C3)=C2C(N)=O,35.17
AB00692520-01,NC(=O)C1=C(NC(=O)C2=CC3=C(OC2=O)C=CC=C3)SC2=C1CCN(CC1=CC=CC=C1)C2,4.82
AB00692519-01,NC(=O)C1=C(NC(=O)CN2C(=O)CCC2=O)SC2=C1CCN(CC1=CC=CC=C1)C2,-9.61
AB00692518-01,NC(=O)C1=C(NC(=O)CN2C(=O)C3=C(C=CC=C3)C2=O)SC2=C1CCN(CC1=CC=CC=C1)C2,1.34
AB00692517-01,CN1CCC2=C(C1)SC(NC(=O)C1=CC(=NC3=CC=CC=C13)C1=CC=CC=C1)=C2C(N)=O,81.34
AB00692516-01,NC(=O)C1=C(NC(=O)C2=CC3=C(S2)C=CC(=C3)[N+]([O-])=O)SC2=C1CCN(CC1=CC=CC=C1)C2,4.06
AB00692515-01,NC(=O)C1=C(NC(=O)C2=C(Cl)C3=C(S2)C=CC=C3)SC2=C1CCN(CC1=CC=CC=C1)C2,-1.28
AB00692514-01,CCN1CCC2=C(C1)SC(NC(=O)C1=C(Cl)C3=C(S1)C=CC=C3)=C2C(N)=O,99.5
AB00692513-01,CC(C)N1CCC2=C(C1)SC(NC(=O)COC1=CC=C(Cl)C=C1Cl)=C2C(N)=O,-0.64
AB00692512-01,CN1CCC2=C(C1)SC(NC(=O)COC1=CC=C(Cl)C=C1)=C2C(N)=O,2.89
